"q","RCCA1","RCCA2","RCCA3","RCCA4","RCCA5","RCCA6","RCCA7","RCCA8","RCCA9","RCCA10","RCCA11","RCCA12","RCCA13","RCCA14","RCCA15","RCCA16","RCCA17"
"AngAffect_Unadj",0.0240263013084962,-0.00468188683528089,0.0424704522082038,0.00891280487977615,0.0870485897525623,-0.0299646547865787,-0.0670416248956179,0.0600164954556656,-0.018537995035717,0.0419869220837881,0.0104418935979871,0.0668232393488763,0.049082163447436,0.00333535138707273,0.0572833353167117,0.0462480914577469,0.0638267152995381
"AngHostil_Unadj",-0.0194130210035085,-0.0377801662387034,0.0107542081504436,-0.00958937363171682,-0.00296337508816146,-0.0670822727749691,0.0445105358112441,0.0226333224538143,-0.0011585771129162,-0.0712528492931187,0.0020471296050301,0.0380112812200956,-0.0546102932631147,0.029836953646736,0.0439593702779851,0.0136269833795741,-0.0466483916994616
"AngAggr_Unadj",-0.0197180023752545,0.0700072686071897,0.000950078384462464,-0.0104286450331155,-0.0360362803359106,0.0448235702932123,-0.0195398588574239,0.0265705914773942,-0.00229217437429716,0.0223170420013498,-0.0333016885248095,-0.0154609123151288,0.0140501343610351,0.0480608943523256,0.0365198924913315,-0.02259465248132,-0.0223740945985981
"FearAffect_Unadj",0.0670320403295418,0.0527547361692541,-0.027029604799228,0.0810684806021392,-0.0285127210459688,0.0185329553295766,0.0394472674796377,-0.0225720908128189,-0.0995384481779701,-0.0905820778450608,0.013101883244384,-0.0213950094797782,0.0613236736629326,-0.0121069243755591,0.0182365852129582,-0.0212436376818556,-0.052412548654517
"FearSomat_Unadj",-0.0233642909864738,-0.00539186581247803,-0.00746560096060689,-0.0118881880698275,-0.0171639861620993,-0.0446914449511566,-0.00627507221865387,0.0337250339497691,0.0305306896681771,0.0173254166100226,0.069728041706573,-0.0822301505024447,-0.0301511448509712,0.0238328337646665,-0.016727670560118,0.0105356037571562,0.0360527904202729
"Sadness_Unadj",-0.0238237933771516,0.0314363449393457,-0.0312950091325032,-0.0734920972247644,-0.129277680238565,-0.0379876276692925,0.0446803076505316,0.00992630552318706,0.107608563418368,0.0228170318368694,-0.0336729805425534,0.0716854313603784,0.00815638847955466,-0.0430651934609751,-0.0500216243772001,-0.0164842582435698,0.025279085270394
"LifeSatisf_Unadj",0.0687768711515675,-0.0146680976231143,-0.067275916356093,-0.00076602693001078,-0.0270923407831166,0.0199077181020967,-0.0192635016510463,-0.00665551382985782,0.00573027088967034,0.042873834838452,0.0463087605679356,0.054503829348359,-0.0656516933115295,0.0222427243860061,0.024688719685755,-0.0256609190392485,-0.0217239455575511
"MeanPurp_Unadj",-0.072738994392175,0.0209614179056436,0.04967157666077,0.0427573549357438,0.0158545391748161,-0.0235380085251206,0.0255521127303969,0.0219683255260523,-0.00155868865613097,0.0281374394571694,0.0263418273290174,0.0336436675764676,0.0324798437744762,0.00470473517854908,-0.0520548146402226,-0.0434989075015215,-0.0451199516040788
"PosAffect_Unadj",-0.0385252172632409,-0.0180318083948898,-0.074369760593001,-0.0408838280266277,0.00701306268657833,-0.0320103226464018,-0.0137388936755001,-0.0165470961435138,-0.013850842923259,-0.0388543647373146,-0.0500829015855558,0.00886453754941286,0.0911659501282199,0.05437918567268,-0.0140784241820708,-0.000291206064677541,0.0717672864479416
"Friendship_Unadj",0.0197195204260589,0.0941035079687643,-0.0038798150173296,-0.0263954783419945,0.0583324963789567,-0.0105861044981137,0.0145701666610609,-0.0082379891701455,-0.000387531325035147,-0.040639364696768,-0.00193583131487923,0.023920009018878,-0.061725918867526,0.00847519730132672,-0.0387783949827863,-0.01974408969243,0.0336286609342599
