"q","RCCA1","RCCA2","RCCA3","RCCA4","RCCA5","RCCA6"
"AngAffect_Unadj",-0.0244123338682837,0.0108350364784373,-0.12848895328921,0.0788193146590595,0.057444388074382,-0.0892978210227202
"AngHostil_Unadj",-0.075846322826403,0.0138797481495389,0.0609376184870597,-0.0145969460996748,-0.0543022023466269,-0.079384956533892
"AngAggr_Unadj",0.110555984082905,0.0438979652684619,-0.005746621079027,-0.00814766352381461,-0.0385483322635797,-0.0111599907953344
"FearAffect_Unadj",0.0481630054341404,-0.164336121235407,-0.0132306912267733,-0.0330304037338904,-0.102759236853396,0.00473043467631593
"FearSomat_Unadj",-0.00223692167837133,0.023391353259536,0.0163199534260203,-0.103340238669299,0.0869598722043082,-0.024522920471138
"Sadness_Unadj",0.0392042686581166,0.0450961036112749,0.142197404169926,0.0647452565890771,0.0880099680606722,0.0705678637502296
