"Subject","brain_scores_lasso"
"100307",-0.317757907900721
"100408",0.224713630925761
"100610",-0.364385630439432
"101006",0.0157356768382928
"101309",-0.165365191836038
"101915",-0.019716220907002
"102008",0.187701220022447
"102311",-0.0200823238246457
"102513",0.132542289138218
"102816",0.260347826499313
"103111",-0.0684935520530622
"103414",0.101610284053384
"103515",0.261461521432902
"103818",0.0338937224686514
"104012",-0.134828667407622
"104416",-0.0896992663419898
"104820",0.141117429320682
"105014",0.140189947163623
"105115",-0.103528221613845
"105216",-0.819964519237462
"105923",0.0780682901772194
"106319",-0.329244246211807
"106521",-0.166963017947126
"107018",0.283137644747324
"107321",-0.0545554581312966
"107422",0.0218227651746867
"108121",-0.110266617190865
"108222",-0.356859027465847
"108525",0.377766374524266
"108828",0.511118030940894
"109123",-0.478470635613719
"109325",-0.132565478112354
"110411",-0.174302360038383
"111009",-0.155326785496614
"111413",0.0989909794259059
"111514",0.0751042385801059
"112516",-0.0684962146101613
"112920",0.106029868387448
"113215",-0.0663988840904964
"113619",-0.328558609782267
"113922",0.270804157684485
"114217",0.0965366754844204
"114318",0.002716547201125
"114419",0.239220753717767
"114621",0.0995862085547405
"114823",0.0856896703964392
"115017",-0.0771609366327932
"115219",-0.0141331221802816
"115320",0.0826810936603085
"115825",0.344915104788509
"116524",0.0362251092919616
"117122",-0.390063067037588
"117324",-0.0446781735806754
"117930",-0.160200889552811
"118023",0.00734685514992938
"118124",0.00254347565703877
"118225",-0.0647029784028461
"118730",-0.0932975271938415
"118932",-0.127366177206383
"120111",-0.291112536425151
"120212",0.21348113780572
"120717",-0.0562579140792356
"121416",0.116691363032461
"121618",0.368406642575238
"121921",-0.0467640657140302
"122317",-0.146210216770059
"122822",-0.212549259624937
"123117",-0.246598299777293
"123420",0.0263646533356526
"123521",-0.699627887022072
"123723",0.553279627826909
"123925",0.00291140273093467
"124220",0.068861275054371
"124624",0.0302816132276507
"124826",-0.194655185432459
"125525",0.172637929707548
"126325",-0.0863050022962608
"126628",0.239466566846731
"127226",0.0589844315929167
"127630",0.0117420832750549
"127731",0.00838888026500834
"127832",0.0583791541738096
"127933",-0.0420585961416573
"128127",0.205088231792306
"128632",0.299825260021283
"128935",-0.258237028100199
"129028",0.29583761809627
"129129",-0.115990047816122
"129331",-0.0697237883322957
"130013",0.162748111329951
"130114",-0.113490598180345
"130316",-0.0827899492821734
"130417",0.0207753862295775
"130619",-0.0319505059270546
"130821",-0.112315288586669
"130922",-0.367816169659949
"131217",-0.00620334444527506
"131419",0.336235352530864
"131722",0.00719988295035304
"131924",0.297622265286147
"132017",-0.122243910170923
"133019",0.110879730819233
"133625",0.180749116504341
"133827",-0.180577874784334
"133928",-0.0502873871461066
"134324",-0.0866255748190207
"134425",-0.0335654877354328
"135225",-0.0646678287561869
"135528",0.155162334726494
"135730",-0.11821721922054
"135932",0.581617741955629
"136227",-0.00463815562843319
"136833",0.0090793306170968
"137027",-0.0608238214071007
"137128",-0.0903831723951975
"137229",-0.0390078949134924
"137633",0.0481632212335029
"137936",0.00523978883019393
"138231",0.136862038517273
"138534",0.14754477609782
"139839",0.207324946647482
"141119",0.164956694790314
"141422",-0.00429076286950564
"142828",-0.0764056805671879
"143325",0.0372744067128302
"144428",-0.34005423165149
"144731",0.0204703410133767
"144832",-0.108952036060228
"145834",-0.00778678450647865
"146331",0.345515054778303
"146432",0.282822676499318
"146937",-0.133155253645464
"147636",-0.36503912353126
