"PCA_comp","RCCA1","RCCA2","RCCA3","RCCA4","RCCA5","RCCA6","RCCA7","RCCA8","RCCA9","RCCA10","RCCA11","RCCA12","RCCA13","RCCA14","RCCA15","RCCA16","RCCA17"
"PC1",-0.000584347179364957,-0.000635014486545594,0.000459984017751824,-0.000224266845296803,2.97828849777354e-05,-0.000237677366966108,3.13217244071714e-05,-0.000245442408153013,-0.000381527030104819,0.000144239386521895,-5.83067964612207e-05,0.000863785136958029,0.000101605672539086,-0.000373022273431491,-0.000505384461462772,-0.000448282699600765,0.000304260342292818
"PC2",-0.00093115578027518,0.00254357861823297,0.000636337921272509,-0.00462936788560603,-0.000818041170246315,-0.00097504809046974,0.000199980454799675,-0.00222576301390308,0.00123834711696527,-0.00179036696651377,0.00194497748575452,0.000897219381249132,0.000282931467313972,-0.00137939597463986,-0.000347069128036973,0.00081306942526025,-0.000155113503857143
"PC3",0.00672210568177039,-0.00484627722739383,0.00359123859280742,-0.000121684969892995,-0.000367310073612954,-0.00220313291799093,-0.00337781145856481,0.000912407780400581,-0.00095131634244762,0.0019984355016736,-0.000110299433433945,0.00173617720431311,-0.00106715571821377,0.000683962515415614,-0.000524030126135041,-0.000979118257098726,-0.00232581943996041
"PC4",0.00991387452946021,-0.000928290106233076,-0.00467281923740835,-0.000545438576279922,0.00181803863850789,-0.0021652999846201,0.00254775621023121,0.00510509995848888,0.00131013796562082,0.000526269324013386,0.000485274801379041,0.00254504868345425,0.000204301742251014,-0.00323170953356818,0.000464581276106908,3.18970984242912e-05,0.00096890189997552
"PC5",-0.00518342694369895,-0.00476050072184751,0.00417228212948122,-0.00343646068790328,-0.000916325076930498,-0.00315634585039371,-0.00341110354469323,-0.00129045477196947,0.00599214459401742,0.00291718940102655,-0.00597674321188291,-0.000331146320660152,-0.00125287667192667,-0.00231970219510302,0.00370960390851949,0.00140949358431944,0.00245930731220299
"PC6",0.0056636029013576,0.000485980941861357,0.00820539778938118,0.00345989904369524,-0.00546769692973593,-0.00254631503871236,0.00240618011159137,-0.00423079572376931,-0.000384564739842761,-0.00112984682070645,-0.00211986728220443,-0.00538848943480709,0.00349641957126892,-0.000122966666142676,-0.00245561716515012,0.00128277113282485,-0.000791306437820205
"PC7",0.00207731790086969,0.00326756585865118,0.0026210500165376,0.002707872801013,0.00555900208394176,0.00774141328353647,-0.00168379451821913,-0.00041514507268062,-0.00160436001185126,0.00364026509562042,0.00426858261539806,-0.00390362047131705,0.00334364883405397,0.000524772173491344,0.00321941633558295,0.00268212854168424,4.8582352279007e-05
"PC8",0.00483064770194393,0.00277503642311008,-0.00180589468942085,0.00045516920741722,0.0104321562604471,-0.00325761535069577,-0.00587776754731981,0.00223813585464668,0.00109563122076698,0.00082776494790617,0.00139689935907866,-4.33799765468234e-05,-0.00215311283290845,0.000876713110146986,-0.00026488299716383,-0.000492723681590815,-0.000442437025414367
"PC9",-0.0032429877634166,-0.00238400736234029,0.00166523196525135,-0.00247263169516199,-0.0053745116175441,-0.000450069877494736,-0.00121040373522176,0.00183905907202608,-0.00478350295349182,0.00232244889972135,-0.00304878827392429,0.0013803718328454,0.00321958558774939,0.00254888512952847,0.00151345273893869,0.000977750645078177,0.00271873190939204
"PC10",-0.00264189552015761,-0.00596247705123979,0.0068734141194943,0.000286360691029149,0.00499209780234996,-0.000204338057557683,0.000932492681171493,-0.00503328813732684,0.00190796493695562,0.00103893283565462,0.000878941433710324,-0.00136515799975536,0.00289357178050008,-0.00409386685466948,-0.0011018806381316,0.001900751063796,-0.00681768340542702
"PC11",-0.00762605549842837,-0.00338613654075081,-0.00606873921593036,0.0035072795885116,-0.00218924160077858,0.00228218197759434,0.00616160411167932,0.00592977270040005,0.00133624897385759,-0.00914274206846091,0.003474306814278,-0.000983922676312228,-0.00145811092558949,-0.00155790044733323,-0.0021261091099594,0.00254703100678419,-0.00117225970338223
"PC12",0.00253420992482832,-0.0156275986196795,0.00408119430511525,0.00129547329979662,0.000497064474211541,-0.00163070688836077,0.00112909047386278,-0.00316699167086818,0.00321933675712184,0.00022620951989996,-0.0010930261916902,-0.0057695612070055,7.94154088337436e-05,-0.0039727772784065,0.00224493746063427,0.00452442919008641,0.00393149721718296
"PC13",0.00603726805963318,0.00335832111520943,0.00238908166283813,-0.00278083563376636,0.000548928449189289,-0.00176682236569424,0.00141712852336544,0.00721004627885178,-0.00271070677267498,0.00634281132871543,-6.18596186502879e-05,-0.00083560033387482,0.00085946782312826,-0.00188217580737813,0.00170851910684515,0.00354579515633815,-0.00287402911644677
"PC14",-0.00238954189358664,-0.000965855595744748,-0.00591033112165675,-0.00399631849264989,-0.00963342075090159,0.00621259945463609,-0.00913054533003151,0.00571430161399145,0.00112291489007733,-0.0103321087184105,-0.000418479416838041,-0.00364848517940755,0.0015303516716586,0.000662164970295851,0.00399143399612197,0.00348236398333873,-0.000862842060753943
"PC15",0.007376078093708,-0.00168837094732895,0.000950289584718812,0.00394595632249363,0.00469552528146035,-0.000174888564646156,0.0106160771115006,0.00276404217863588,-0.00391477857764911,-0.00116467501743072,0.00117688926690462,-0.00445441741821368,0.00424885165011448,-0.000231946555289509,0.00262722771733673,0.00839444685703248,0.00216990014140611
"PC16",-0.00771922039611236,-0.000376391099917271,-0.00170795575099739,0.00452269710439545,0.000908668130712819,0.00664664184253527,-0.00411771446813193,0.0039683346224778,-0.00498124218967043,0.00180638547641494,-0.00755850221793541,-0.00218239337246963,0.0115442693207756,-0.00292055198443288,0.0012026145218589,-0.00202430879774077,-0.00748163446119947
"PC17",0.000488829014594616,-0.00499323051854823,-0.00136936274398994,0.00329400502440202,0.00614509406758999,-0.00109434351705197,-0.00284593493363189,-0.00251947158508169,0.00296737517916202,-0.00293102948068031,0.00314247611907579,0.00214378314663882,-0.0043856870684646,0.00404586012699369,-0.00471204847343574,0.0104636695984949,-0.00146596912361569
