"","RCCA1","RCCA2","RCCA3","RCCA4","RCCA5","RCCA6"
"AngAffect_Unadj",-0.0283099034215631,-0.00425988963304216,-0.034894068127041,0.0611659382922859,-0.0779761606392107,-0.15115993121036
"AngHostil_Unadj",0.00284858052830261,0.0615474037012757,0.0916899734680798,0.0364638003380914,-0.0602753199659098,0.0452858092280057
"AngAggr_Unadj",-0.101042231659477,-0.0256414098879955,-0.0427240852267275,0.00286271238691307,0.0183581808421459,0.0434332367271486
"FearAffect_Unadj",0.0199318778014646,0.0663872733055421,-0.0951279709084773,-0.115805080523394,-0.0766042369885057,0.0803256079110461
"FearSomat_Unadj",0.0566263228769775,-0.00458068280030903,-0.0299020326153981,0.109437693655315,0.0436351746182584,0.0387771296081045
"Sadness_Unadj",-0.0193688199249474,0.0325701897110945,0.0575811787374846,-0.0120234801181055,0.18730492264025,-0.0219717264939756
