"","RCCA1","RCCA2","RCCA3","RCCA4","RCCA5","RCCA6"
"100307",0.407940574030116,0.367468848881559,0.740246882249246,-0.266326915747314,-0.0330009617260879,-0.0176605373125471
"100408",-0.17039164739055,-0.126523081224396,-0.394708701853948,-0.208236085180704,0.190915537167399,-0.0711140434009932
"100610",0.637231498504304,0.0197770459360949,-0.015208879080931,0.0188470253233731,-0.25220763423873,-0.0454063304787011
"101309",-0.168382138781304,-0.44039687666653,-0.0217914436989413,-0.676050045114214,-0.0587979278522706,0.0775707981934776
"101915",-0.364606077582144,-0.526100352812596,-0.604143640558096,-0.155251228701282,0.18226736231999,0.196880010957536
"102008",0.0846383605654237,-0.156210148528333,-0.592413670384537,0.31531540875495,0.0532515566348156,0.181921215732145
"102311",-0.246898641638661,-0.0239872854319432,0.533578584467612,-0.232281794765079,0.369110206505857,0.0394444727019429
"102513",-0.265480861117293,-0.398383093091525,-0.103212026366447,-0.716785807542167,0.415886507996072,0.0475544135651549
"103414",-0.291688468141374,-0.411410055084525,-0.124531194714811,-0.726971860512157,0.423610245876813,0.0762231332693508
"103515",-1.28278178119881,0.232980920511744,0.262148791236862,1.24161526554045,-0.470143938140736,-0.314660313678993
"104012",-0.300062235741955,-0.42257684158748,-0.116244854191815,-0.753241371274897,0.433582446193501,0.0712309358053254
"104416",0.252087183910129,-0.165725416930338,-0.0782533671329373,-0.508509173796866,-0.150088192344381,-0.391066066561851
"105115",0.0380720085601673,0.233821672548957,0.0404754701621596,0.285273721199184,0.636452384903351,-0.173635560726535
"105216",0.38485712476135,0.493234886872944,-0.437280588808928,-0.202062311641127,0.249477340073605,-0.174492611813208
"105923",-0.309284766080714,-0.279246203430521,-0.218837888889596,-0.156686016719109,-0.102418803607537,0.244749567899248
"106319",-0.0926673715111322,0.273052751058649,0.00464475812308811,-0.210151271587157,0.316611574621711,-0.149665545593576
"107018",0.0320419242055137,-0.354299442903032,-0.14798150192511,0.0272020818856994,-0.057913967081905,-0.452292754592004
"107321",-0.548229099846466,-0.238866608215105,-0.225061999327848,0.175738510062873,0.047756103263542,0.0664955646152263
"107422",0.0769348406838112,-0.010432276301061,0.10508888355741,-0.388964345098478,-0.365303640945244,0.0151167135448233
"107725",0.345544871371361,0.541350012442158,-0.225824006996509,-0.263026949654028,0.1074820445918,-0.128132484114913
"108121",0.340527348026463,0.228885032964434,0.208746509961597,0.265301469878643,0.0703276827728077,0.0203076392308558
"108222",-0.107145688145693,-0.00652209440080815,-0.152876813600051,-0.347837777739391,-0.199628864820383,0.134007448557096
"108525",-0.649378131194992,-0.256573936002911,-0.344578879919173,0.170100534301096,0.561616209894111,-0.118785554719459
"108828",-0.315677543726577,0.885854609284149,0.0625882528986433,0.207853988295675,-0.026411534803166,0.277727192747225
"109123",-0.572646369818578,0.260567777576091,0.0721694157552455,0.268798793493367,-0.127482277125482,0.254840554219536
"109325",0.56005868837414,-0.424644588855155,-0.189838560111302,0.471700469257544,0.00637049118838749,0.373192023960078
"111009",0.23536398920194,0.32961895389413,-0.0186939146333726,-0.274298780495019,-0.30813760928595,-0.85085357662423
"111413",0.241904890810135,0.761610670396724,0.229569057101291,0.191817615392667,0.45829030586895,-0.291048917066366
"111514",0.0179589979234152,-0.0503150009013943,0.0160135769419837,0.568435919731961,-0.653918425576014,0.233396411902391
"112920",-0.076978871638304,-0.102407231959379,0.33391414164857,-0.352039658843668,0.237770576224361,-0.176467893686991
"113619",0.187396356042523,0.0965083922077336,-0.444308128188641,-0.432742269717209,-0.146726644332636,-0.709466320902697
"113922",-0.503546491062899,0.0174562708350352,0.390185660660192,-0.0402437924804101,-0.371556565363198,-0.25930281380035
"114217",0.0821352355293324,-0.828883781725297,0.326666168554916,-0.126011853394059,0.0102116333151031,-0.363995031561014
"114318",0.358605633640365,0.161850398166137,-0.383360791746504,-0.133352662252345,-0.104419785836601,-0.116989288999444
"114419",0.278770524885968,0.0519284244273916,-0.275602983302251,0.431355803707201,-1.29505120274111,-0.231760643704483
"114621",-0.905304746245127,-0.286375263016416,0.125122192046311,-0.00578004402258469,0.022711839990159,-0.00805533541775343
"114823",0.115750624341518,-0.371475140842511,-0.227238278869458,0.0801053073859365,0.223561877092924,0.0192067032053278
"115017",0.309377092790232,-0.26122689757072,-0.175827091495761,0.107734623195961,-0.169065972314964,0.288694022819856
"115219",-0.110633199461259,0.399762862544681,0.331849872234211,-0.200194363783935,-0.0563243484606554,0.38295078456727
"115825",-0.0473052940957935,-0.0123865130542507,0.291288672352589,-0.208797153220257,0.293287478217363,0.0947031685711687
"116524",-0.956770700763232,0.069309561086451,-0.368943300559916,0.805506209044523,-0.232902734059741,-0.750898530282047
"117324",0.538791807983904,-0.431464248473538,-0.392691617443832,-0.495100713655573,-0.0868542580890066,0.942920763489517
"117930",-0.0683829518321425,-0.299508785127823,0.289019541526049,0.237298607730576,-0.245129366166139,-0.0410861806428873
"118023",-0.370613450020507,-0.279092903744512,-0.138687855021569,-0.173502289293169,-0.0941104428693087,-0.199466198993779
"118225",0.121549399826567,-0.217031003023659,0.161128580133715,-0.553915368917127,-0.563118215778752,0.282292105421204
"120111",0.159748565606935,0.0198065856740764,0.346010061154573,-0.349349638483875,0.358679591452935,0.315939331718616
"120717",0.0268709326496704,0.0173577436083659,-0.455769626160866,0.00519867328027723,0.481615946682066,0.30954230091298
"121416",-0.475887949282579,-0.382194467800379,-0.617147937540916,-0.655098044408073,0.421085865732803,0.338516044214266
"121618",0.0508043167684844,0.474719958414148,-0.298443131353149,0.389408736662662,-0.215671382332071,0.0620255660169777
"121921",0.382743536373213,0.0403137320744372,-0.116120315688082,0.264163943924409,-0.398166481073402,-0.246140324848752
"122317",-0.196695336859038,0.0498519808603129,-0.187911478765971,0.0348707213515155,-0.462893966748079,-0.103475936879267
"123117",0.303473940546168,0.00323996616477316,0.103040821788246,0.64358003691538,0.0732900212132086,0.148385012691994
"123420",-0.0314507918589779,0.431171308833703,-0.473067482917306,0.108729956047116,0.767999883128542,0.82444098562251
"123521",0.342363819754869,0.585887104441069,-0.749723397681306,-0.525397140867694,-0.212871197206032,-0.537967171777577
"123925",-0.328171093114902,0.127466513910265,0.307418466756443,-0.282097122119654,-0.0163665562044747,0.20040785782775
"124220",0.252670332118827,-0.37184555983197,-0.152355603241412,0.397082615227032,0.427572946519081,-0.0556449048115474
"124624",-0.667210695403328,-0.316296418204622,0.0405340813059293,0.197242715581697,0.304952872167984,-0.0930518645605034
"126325",0.815499731616036,-0.615439090933637,0.475720756592655,0.496434338009772,0.369687221319871,0.648632339334917
"126628",0.3545514257972,-0.0711816948382237,-0.00539363602803978,0.153872237966256,-0.031635036225651,-0.141848500482181
"127226",-0.304179657131668,0.287438336012708,-0.0359009065875294,0.158062933199691,-0.501334489342882,0.252596356257286
"127630",-0.268459707416139,0.0156659995240906,-0.511508196418465,-0.308612836608545,-0.311770451277035,0.153341546095215
"127731",-0.41422764230859,-0.197677487757761,0.153193989994803,-0.357371847934868,0.234644726392085,-0.278782952034445
"127933",-0.334167325231682,-0.302270111056568,-0.538862367916648,-0.207426119374253,-0.000728439954480415,-0.485921495352747
"128127",0.0724012927002449,0.00395756741872591,0.266416881152278,0.214012204142943,-0.181950119671245,-0.329205013159691
"128935",0.727570580274578,0.109537788186138,0.142694251196558,0.120278048782499,0.0105707397668821,-0.0132758862134764
