"q","RCCA1","RCCA2","RCCA3","RCCA4","RCCA5","RCCA6","RCCA7","RCCA8","RCCA9","RCCA10","RCCA11","RCCA12","RCCA13","RCCA14","RCCA15","RCCA16","RCCA17"
"AngAffect_Unadj",0.00947159005629296,0.0153774869349913,-0.060905459658278,0.0362434133413158,-0.0262847462094814,0.0529012193884812,-0.0989362695909101,0.0328696312658137,-0.00381691049953499,0.0360231467450315,-0.0323273792012748,0.102483108868049,0.0662013394097613,-0.00256260111146097,-0.0310502957500275,0.0105790272461878,-0.0227616090620787
"AngHostil_Unadj",0.0349185810162328,-0.0607304609627155,0.0190127611870661,-0.0438242325234882,-0.0194974726004257,-0.00778343743998759,-0.055574865751837,-0.00447345789721409,0.00987269561741097,0.0472678331324112,0.0196194326077295,-0.0299180361579575,-0.0326546274859251,-0.0574229482625915,0.0244910671643172,-0.0697512121125327,-0.0125222579705758
"AngAggr_Unadj",-0.0530895846270844,0.00221417354826298,-0.0369079650477716,-0.00682400248594984,-0.0124529980083141,-0.0125044826301044,0.039117416939013,-0.0671972132407366,0.0105444186841948,-0.02141566952737,-0.0401454109011907,0.000330468882808189,0.00914352140358772,-0.0358885202853511,-0.0153744608513151,0.0129914041262268,-0.0449144133703733
"FearAffect_Unadj",0.0251918302758522,0.0426235256085259,0.042818610653713,0.0258825245721537,0.0316185999939467,0.0300852619955288,0.0586843388177233,-0.00593120275713814,0.0928055629037971,-0.013621234083057,-0.0831526423955358,0.000768611277272004,-0.0810270879891481,0.0202459892355245,0.0437562794623144,-0.0803727887016394,-0.046701789882756
"FearSomat_Unadj",0.0185162596795159,-0.00111772632505128,0.00527431656462547,-0.00513676260421797,0.000412022602634163,-0.0992361139041786,0.00871147048290662,0.0587519534943109,-0.0259555218451478,-0.0381128218235812,0.0229497252455644,0.0220404008619388,0.0222916449762594,-0.0522708384174822,0.00490514222286663,0.0111031785888601,0.0105859893923322
"Sadness_Unadj",-0.00867332184631705,0.0162851199736708,0.0612789060134293,-0.0152187874552737,-0.0312673481107991,-0.0095043994306643,0.0530628935649745,-0.088185744114473,-0.0276995874857103,0.0760401706809506,0.0709088030518301,-0.0319226444214882,0.067747917447755,-0.0498059833535139,0.0849836328095192,0.0868549839291337,0.04494116243974
"LifeSatisf_Unadj",0.0853544556699584,0.0423005586845878,-0.0330778161800934,0.037709436891854,-0.0414779079421263,0.0136334107838296,-0.00543944876660169,-0.0612955284421904,-0.0230532559461384,-0.0390802838467852,0.0523493291163773,-0.0201517403824948,-0.0327017130661105,-0.0243447269594184,-0.0134234110685106,-0.00803495500604763,-0.00314147294436519
"MeanPurp_Unadj",-0.0282561409963067,-0.0506612142089005,0.0423905937585441,0.00349755237876937,-0.0695620165745899,-0.00957636371180928,0.0168031853086386,0.017675785574972,0.0571894798363024,-0.00426027913890384,0.0133670125971027,-0.014749981584605,0.0665613013088701,0.0433413928321605,-0.0027250698917829,-0.0115647011528759,-0.0395008756896062
"PosAffect_Unadj",-0.0349073714371785,0.036886006714039,0.0517633429061146,-0.0427208136187026,0.0693272041537219,-0.00719433516828369,-0.0605451447185098,-0.0305502579049467,-0.0459267782393137,0.0027027379519965,-0.00531802613444139,0.0451259197530323,0.0171763297246195,0.0283829648617474,0.0587617692039769,0.0365691515291805,-0.0690335044934344
"Friendship_Unadj",-0.011310368381601,0.0166932858426558,-0.0408880872311703,-0.0578706765282904,-0.058918934492894,0.0395139282958737,0.0534241093032582,0.0482948264836993,-0.0437443481462631,0.012756030710553,0.0230349145640502,0.0214783628719581,-0.0343062186901066,0.00784000911742002,0.0440001687094296,-0.0119785962346492,-0.0313965695382916
"Loneliness_Unadj",0.00860227903958059,0.0404393189947539,-0.105583064986462,-0.0260246496649044,0.0309332296443458,-0.013272690308012,0.0100445936329183,0.0289051826958005,-0.0101942774520838,-0.0122006209892532,0.0221993012167735,-0.0452138012213621,0.0658429578862132,0.0742790906728117,0.0330956699514461,-0.0524158158605463,-0.0403484517820342
"PercHostil_Unadj",-0.0228388100424753,0.022300393789728,0.0503405530757286,-0.0288436961327425,0.0199224307867047,0.0449974004930657,0.0381428241297518,-0.00514012133724962,-0.03413489613242,-0.030579602176091,0.0295839920449159,0.0116950636024062,0.0381708337143597,-0.0133986425831486,-0.0336948723928405,-0.0901477208234837,0.0484536128239593
"PercReject_Unadj",-0.0118457979599428,-0.000405713821013703,0.0240429673486788,0.047731164466993,-0.0033425585133277,0.0442204334660999,-0.00378983082496767,0.0546254489652345,0.00422361765183169,0.017492295270549,-0.00871153095424779,-0.0624300620185149,-0.0390705193597651,-0.0535678148564402,-0.0200580331193729,0.0910461730503055,-0.0819908930576386
"EmotSupp_Unadj",0.0162151176655072,0.0380804365417638,0.0149475792532736,0.0167919255458944,0.00741496713063042,-0.033346344058066,-0.00804127092586181,0.000929059930520259,-0.0412973836617458,0.0620520394119045,-0.0647372693810541,-0.0585095626700756,0.0279119960999228,-0.00547577100130371,-0.073368857894485,-0.00923263691134978,-0.00853183576635127
"InstruSupp_Unadj",-0.0439777526370378,-0.00997470237900023,-0.0110291569874342,0.0375345663419669,-0.00960582840782464,0.0176310977083373,-0.0392895576793057,0.018119854086645,-0.000361163020939104,-0.0531709759008334,-0.024792559668667,-0.0439860046243418,0.0079646352717796,-0.0171612246458826,0.0739337193866869,-0.006838416846746,0.0324917754400281
