"lambda1","cor.correlation","cor.lambda1"
0.01,0.163975605584064,0.01
0.1,0.167457664249481,0.1
1,0.210378857521824,1
10,0.197133069556411,10
100,0.0423072753069347,100
1000,-0.00404447737261283,1000
10000,-0.00629408111062456,10000
1e+05,-0.0064968618128902,1e+05
1e+06,-0.00651693282149091,1e+06
