"lambda1","cor"
0.01,0.0059053253969461
0.1,0.0140920058604622
1,0.0177045163391028
10,0.0173890696915385
100,0.0470640746393134
1000,0.0948930196804016
10000,0.0225664702114764
1e+05,-0.00893468298602855
1e+06,-0.0109221045900834
