"PCA_comp","RCCA1","RCCA2","RCCA3","RCCA4","RCCA5","RCCA6","RCCA7","RCCA8","RCCA9","RCCA10","RCCA11","RCCA12","RCCA13","RCCA14","RCCA15","RCCA16","RCCA17"
"PC1",0.000898452411732508,0.0040837464581692,-0.00209661577389123,0.000144247731564261,-0.00196270890401624,-0.000714835184597456,-5.2957119022236e-05,-0.000622758891526769,-0.000223604317037963,0.000785507470155887,-1.74980541378773e-05,-9.76633292496052e-05,4.73489246035757e-05,5.59433054381465e-05,-0.000208760644690095,0.000434196786812751,0.000163567725433606
"PC2",0.00927226090396237,0.00137814713477539,0.00191830849409965,-0.00118764523454274,0.0025796756798494,0.000984218121453568,0.00030381665230356,-0.000996009086999399,0.000266791462267924,-0.000506248794355837,0.000294503919738687,-0.00143050114790685,0.000222260563342054,0.000164998892247355,0.000551726662510445,-0.000631719423632362,-0.000356862143935151
"PC3",0.00145434100572561,-0.0029485371352221,-0.0059799481859232,-0.00477369418926173,0.00127645573488692,-0.000264244795623436,0.00201502368594022,-0.00162156089880405,-0.000571311201624187,0.00170895257356651,-0.00213590808430073,0.00117477491558598,5.4583260067078e-05,-0.000786729013009887,-0.000849142221898848,-0.000130989083012649,0.00158547731311775
"PC4",0.00205421829516007,-0.00601849905972588,-7.83009560633995e-05,0.00242925567384256,-0.00203697809939575,0.00250206828741321,0.00149058494221632,-0.00182916566098041,-0.00305554829522902,0.00140956559049438,0.000348750232457307,0.000118465104339549,-0.00247130344665016,0.00221887347247263,-0.00212071980194676,0.0013311013291615,-0.000304765066042525
"PC5",0.000276860487180009,-0.000351491713628343,-0.000647302916208872,0.000466119448267469,-0.000660835706649528,-0.0014114756017841,-0.00132694012343352,-0.00129772356993768,0.0016986689277199,-0.00217581825714244,0.00179982979854343,-0.0030442632681113,-0.000359216425513373,0.00236191491267944,-0.00189236330935099,0.00140009770624155,0.00145738272747838
"PC6",0.00258941272853456,5.39502338667636e-05,0.00109060050850336,0.00291749005799221,-0.00302989307440295,-0.0047507672591915,-0.00340056254528515,-0.00327305578324352,0.00115286462730525,0.00381463443103503,-0.00153308101890091,-0.000558013618331972,-0.00102105081191722,-0.000511732236831606,-0.000144176921951125,0.000124298208393284,-0.00052143246977495
"PC7",-0.00610039555635367,0.00365745336553221,0.00281037631129492,-0.00226816737741659,0.00517750727178583,0.000881124322424215,-0.0010732219536578,-0.00372765357530155,-0.000397156529668834,0.0023145286517019,0.000420712124422121,-0.00153838032337582,-0.002517074588941,-0.00143078654787468,-0.00156234397316223,-0.00149144259667149,-0.0010601621615438
"PC8",-0.00167002399370361,0.000822755665533624,-0.000324379311192701,0.00055633064983334,0.00268638328168593,-0.000347500278870919,-0.00299093775690537,0.00168161250898144,-0.00367501456243301,-0.00103674656805757,-0.00180209914285306,0.0011998176202488,0.000115201242900818,-0.000927419057341153,-0.0026592679281353,0.000950429467530537,0.000818191841258989
"PC9",0.00322596583737148,-0.00288674256316953,-0.000197540610613073,0.00135605844284807,0.00307636172865165,0.00148113268383941,-0.00367858035231222,-0.000881137045533337,-1.07204625704821e-06,0.000472095412868494,0.00114464580617322,0.000742509841352252,-0.00171158522445569,-0.000612432516442573,-0.000783566933341718,-0.00112300616984092,0.00131148210367742
"PC10",-0.0039372706614827,-0.00389976656939904,0.0019553599137504,-0.00384979421169528,-0.00309224358416884,-0.0021687969393037,-0.00190008846341072,0.000471976781157571,-0.000460690572694836,-7.85575500231982e-05,0.00166613382049885,-0.000837837241691565,8.70248356187966e-05,-0.00099500086882093,0.000844261308672929,0.00178945708803925,-0.000408447795605377
"PC11",0.00125021236083857,-0.00177356015709322,-0.00249689655863696,-0.00539142517916931,-0.00362975338545263,-0.000995669715786815,-0.00216836290529129,-0.00219865418768485,-0.00241757420323511,-0.000359436863168216,7.57421999107469e-05,-0.00103557333235039,-0.00174343544489463,0.00111391809411134,0.00100390804360542,0.0013997119288179,-0.00128751781375271
"PC12",0.00187741805795327,0.00153001110201657,0.00468764773816907,-0.00129215624144926,0.000617473419422066,0.000210805462578441,-0.00186138327038057,-0.000370972365258919,0.00363541079220918,0.00156098803338298,-0.00150462861959013,-0.000332639687592169,-0.00194254980041247,0.000357028234526571,2.13554170118863e-05,0.00220993797158499,0.000267992807594928
"PC13",0.00181104668944115,0.00251936160142598,-0.00435522586297774,-0.000143022296275042,-0.00116438527888607,0.00260209953158763,-0.00300625762665813,-0.00746840125699154,-0.00105717479834181,-0.0018184098905708,-0.001894300650074,4.73897847542086e-05,-0.00181611606841066,0.00215233064955454,0.00188162223095216,0.000273740629105834,-0.000931799577703973
"PC14",0.00052971282744829,0.00030217075610363,0.00164550708390398,-0.00362079654313123,7.1460959741821e-05,-0.000331309051822793,-0.00136031780698154,-0.00111882425470679,-0.000982218565962312,0.00337399825150266,0.00221217324090532,0.00190106833509221,-0.000430971161887719,0.000897388716444462,-7.20990036136611e-05,-0.00118176748781525,0.00339683817542565
"PC15",-0.00143832282991263,-0.00238803666675413,0.00231732725831538,0.000298117972271566,0.00184697640701679,-0.00333916339029383,-0.001493983742477,-0.0023476568760042,0.00129166226478791,-0.00128169669879556,-0.00478638326162178,0.00165876023394318,-0.000631036005062062,0.00077256217356564,-0.000316714789974193,-0.000496600791086959,0.00144482385524782
"PC16",-0.00172266505088208,0.00379951361625442,-0.00274942434666813,0.00402171585738735,-0.00166536802668375,0.00382496331241252,-0.00216191079530764,0.00278133836341963,0.000685123611790208,0.000400920739503344,-0.000745277209560948,0.00124096154034118,0.000184695809920619,0.0030018149424737,-0.000812451014464521,0.000499881863681757,0.00354058716376325
"PC17",0.00343459247627173,-0.00421452207392527,-0.000260858708535819,-0.000889690470971587,3.70365869090674e-05,0.00168772861346882,-0.00295971935100719,0.00127389442588485,0.000723608436957973,0.000510098085263081,0.0023999943369366,0.00392990314519885,7.76721441834842e-05,0.00247551646214333,-0.00177795037976334,-0.00110766713713086,0.00176543565549667
"PC18",0.0013008895892865,-0.000265619218242468,-0.000179858908769011,0.00346408379915634,0.00252350766482341,-0.00255629579542522,0.00161519200518371,-0.000266669065437432,-0.000958620959604751,0.00192167938313127,0.000534973230609646,-0.000535086457398985,0.00127988279263309,5.403225331513e-05,-0.000957717595333984,0.000566590370705786,-0.00205186727321125
"PC19",-2.99019007448812e-05,0.000327522788908564,-0.00654250105859821,4.40263961637965e-05,-0.000507420032096738,6.51021170028025e-05,-0.00119664246061282,0.00164315821847354,0.00368486671957139,-0.000986330577498083,-0.000918336775829759,-0.000732081450649315,-0.000920680480162114,0.000218237733889332,-0.000237464155605845,-0.00237163047879131,-0.000501604300454764
"PC20",-6.31435088096717e-05,0.0010974145904313,-0.000549292309547341,-0.00363181246646839,0.00113720420548141,-0.00110302917420549,-0.00142921596720768,-0.000299044146050993,0.00209336301329227,-0.00129572841040203,0.00118772209382752,0.00126791561244567,8.80269531253132e-05,0.00209386546380602,0.00023307772886956,0.000969341285063733,0.000801799815880367
"PC21",0.0002971269742083,0.00165993108101307,0.00413534220289963,-7.08771562740935e-05,-0.00292599771653849,0.000933398169910864,0.00343346295301988,-0.000841549959087567,-0.000346569497443735,-0.00142788851711496,-0.00149026897486256,-0.000911350518634567,-0.000159829670417807,0.00449911307876572,0.00199212984309304,-0.00393665617814508,-0.000230264737721331
"PC22",-0.000252456262329876,0.00121928353730572,-0.000572562332475247,0.000409522636542881,-0.0026514853700823,0.000750760117307353,0.00248560982274118,-0.0028028133571874,-0.000657626017315361,-0.00233992876684118,0.00421132123268485,0.00147393726768785,0.00012141036373166,0.00154886992026584,0.00195398136363719,-0.00194250061346064,-0.000785738132661061
