"split1","split2","split3","split4","split5","split6","split7","split8","split9","split10","comp","set","lambda1","mu1"
0.999996737527834,0.99999672197685,0.999996730362826,0.999996729825312,0.999996780479326,0.999996841098044,0.999996776013979,0.999996703723047,0.999996748993118,0.999996796456432,1,"train",1e-04,1e-04
0.999996666023209,0.999996670611012,0.999996634490869,0.999996692949792,0.999996685347362,0.999996713029252,0.999996775587183,0.999996636812245,0.999996714796451,0.999996767393032,2,"train",1e-04,1e-04
0.999996613991824,0.999996620319129,0.999996598513871,0.99999653028322,0.999996664995506,0.999996650088171,0.999996611524041,0.999996554744363,0.999996628213566,0.999996606039833,3,"train",1e-04,1e-04
0.999996558797713,0.99999639579329,0.999996393226897,0.999996404393851,0.999996497708256,0.999996525913482,0.999996421827476,0.999996431205525,0.999996517422939,0.999996475563965,4,"train",1e-04,1e-04
0.999996404038491,0.999995944115905,0.99999591289057,0.999995925235154,0.999995956559497,0.999996006263026,0.99999596712762,0.999995923435685,0.99999641663284,0.999995910770408,5,"train",1e-04,1e-04
0.999994605942915,0.999994017594544,0.999993788613109,0.999994022034619,0.999993987138597,0.999993927812375,0.999993937210276,0.999993859788724,0.999996368769703,0.999994018924051,6,"train",1e-04,1e-04
0.270635340622746,0.00508259666268558,-0.0105004997572714,-0.00829947753303912,-0.0627607045109032,0.0246157421048584,-0.0386891970646488,0.0113091877306731,0.251439018897232,-0.158829434346448,1,"test",1e-04,1e-04
0.0966018847069965,0.259071460379577,-0.206633058961284,0.107641221531392,0.368415373806346,-0.0485588026868851,0.149865500061209,0.011047562825449,0.166040476142914,-0.159570313870977,2,"test",1e-04,1e-04
0.203479502408447,0.124292200675003,0.293730974226561,0.0926100635885509,0.0244753762934717,0.324870295960193,0.286536510407748,0.217773566465674,0.0223967255960466,-0.29115415481128,3,"test",1e-04,1e-04
0.307954258335879,0.224147174415461,0.020662886777173,-0.090261006230166,-0.00881385565331488,-0.095069175893003,0.167336390940531,-0.115030740376745,0.150623131493299,-0.0135889375277657,4,"test",1e-04,1e-04
0.131857325609854,0.069340600084102,0.0850117536698299,0.106722320125294,0.242648992972251,0.0233771828417637,0.152986691783534,0.0519205741474134,-0.268150978462521,0.325686406191013,5,"test",1e-04,1e-04
0.121624544227891,0.108376793384591,0.15362476151317,-0.127756949113531,-0.0217902026048969,0.0335487209314513,-0.0858769398780186,0.0522991884097519,0.0628833187817537,-0.0294677631666713,6,"test",1e-04,1e-04
0.999968171516866,0.999968184478942,0.999968244308819,0.999968385218115,0.999968905917607,0.999969349593809,0.999968717829736,0.999967997228778,0.999968324495474,0.999968991579965,1,"train",0.001,1e-04
0.999967576375944,0.999967687766105,0.999967265240411,0.999967963138729,0.99996775939772,0.999968087216298,0.999968693775566,0.999967558832298,0.999968089096778,0.999968675232633,2,"train",0.001,1e-04
0.999967199367784,0.999967189283403,0.999966943970569,0.999966189162292,0.999967536189276,0.99996741526138,0.999967190196027,0.999966534512812,0.999967333878453,0.999967172261375,3,"train",0.001,1e-04
0.999966669042484,0.999964870364789,0.999964890732088,0.999964946930181,0.999965943239305,0.999966185934162,0.999965079008449,0.999965187927206,0.999966441437886,0.999965667162872,4,"train",0.001,1e-04
0.999964876958279,0.999961692549727,0.999961552890234,0.999961681181756,0.999961809857535,0.999962390600818,0.999961935144073,0.99996142034737,0.999964950862916,0.99996159633583,5,"train",0.001,1e-04
