"q","RCCA1","RCCA2","RCCA3","RCCA4","RCCA5","RCCA6","RCCA7","RCCA8","RCCA9","RCCA10","RCCA11","RCCA12","RCCA13","RCCA14","RCCA15","RCCA16","RCCA17"
"AngAffect_Unadj",-0.021285923785872,-0.0330990232278172,0.00524308863617893,-0.0056477422547748,0.0782923584230506,-0.0164679318533991,0.0879078803242917,0.0617303671370419,-0.0193136195307506,0.003559912592493,0.0125679751052625,0.0327693885836368,0.0602032865626894,0.0047574635287976,-0.0833432961846385,-0.00878753043671415,0.0762514314852424
"AngHostil_Unadj",0.0172946218465918,-0.000753403952497537,-0.0448888538250356,-0.00625554284863133,0.0548180627021366,-0.00872070416848723,-0.0605260890846028,0.00566036868311292,0.0411841531178511,-0.0464393776074135,0.0186064419088078,0.0385701430128771,-0.0661869283638287,0.0578203016989725,-0.0188411544473092,-0.0284049875750239,-0.0023448303184315
"AngAggr_Unadj",0.0341185112200697,-0.0128144976046383,0.0629370165823795,0.00980923533987476,-0.0565454799866687,0.0041339869070386,-0.00546108649846597,0.0360223482633678,-0.00877971313192387,0.00240265700718924,-0.0426355019543769,-0.0190199273734157,-0.0169628240325163,-0.0141261119419791,-0.0413855766908516,-0.042446199074715,-0.0175171613211896
"FearAffect_Unadj",-0.0569620005855659,0.00373656365535058,0.0636803100528729,0.0626728754993867,-0.00778708862476598,0.0256386620899339,-0.047964195362728,-0.053264041302237,0.015933188634443,-0.142479938136251,-0.0130612414016842,-0.0178011339457278,0.0545926490315505,-0.0065366587246744,0.00693301241246433,-0.0250429212997424,-0.0463048473623708
"FearSomat_Unadj",0.0196433760200715,0.016946269506999,-0.00951819992400012,0.000822158112355413,0.00927819777737579,-0.0221783419660085,-0.0258804678641584,0.0231392717914269,-0.0211430011653798,0.0323424319669999,0.0668569640667578,-0.0913037978636996,-0.0366547496832358,0.00327649218887895,-0.00669704908422675,0.0400223153060121,0.0204150628091091
"Sadness_Unadj",0.0218301302841684,0.0194277918917067,0.00552093866383002,-0.0311416501550758,-0.0463115625047646,-0.0228400549497982,-0.133443104676241,0.0548324507290832,0.0395528986537729,0.123579837691986,0.00341674094591998,0.0728353404907724,0.021696318028931,-0.0381242087249419,0.0493155114270537,0.00685963649799598,-0.00178390031873098
"LifeSatisf_Unadj",-0.0827784557629542,0.0582037538950997,0.00785203768798986,0.00114841326334184,-0.0517435481114943,-0.0199342839652465,0.00459773151440109,0.0108593802361722,-0.04305733238084,0.00997721600484946,0.0362641603837649,0.0441439667963399,-0.0494395928645059,0.0234162159933972,0.00557867622767751,-0.0504229540608802,0.0157648912993837
"MeanPurp_Unadj",0.0747786531774386,-0.0356349839263688,0.0047958202229796,0.0415128544953721,0.0482989875941028,0.0137220542653507,-0.00252548859946119,0.00350520993769375,-0.0444128102721076,0.0147494580873586,0.0411609289636132,0.0287104519842939,0.016001604924856,-0.0272975864514051,0.0174554527870241,-0.0258936449873076,-0.0668482673377022
"PosAffect_Unadj",0.0338922253466565,0.0745990914378098,-0.0175098350227774,-0.0512238776268997,0.015090597594304,-0.0171001557144342,-0.0143270136257517,-0.00704334575650889,0.0434735988924763,-0.0178717485057614,-0.0271874431024188,0.0064972970201887,0.0400754298757857,-0.100747516155711,-0.0731113732898723,0.0291625581012422,0.00958539999573612
"Friendship_Unadj",-0.000838279034341433,-0.0229522391198281,0.0914480609029393,-0.0585903159080187,0.028230830105166,0.00752220678092976,0.00696092949292034,-0.00833233849790556,0.0127062352967005,-0.0235800641248924,0.0251817739187515,0.0322685813551299,-0.0585691329842754,-0.0313852164521114,0.0397045339208936,0.0250386641485587,0.0240600639003959
"Loneliness_Unadj",-0.0530667530890915,0.0215098723379394,0.0268817166087293,0.0278274477609453,0.0446257191040206,0.0443840300716438,0.0714971860838353,0.0444414213689283,0.016086746351224,0.0114850913608949,-0.00829008639277357,0.00478396184680017,-0.067569902857143,-0.0539992950257729,-0.00790199113346052,0.0643482380363081,-0.0724325549023662
"PercHostil_Unadj",0.0123754105486175,0.0125964392246255,0.0289712837477572,0.0599552460697582,0.00766312212905749,-0.0312956475236608,-0.0220286693623146,-0.0778519804482665,-0.0309948340683307,0.0221652468447311,-0.0385997650322903,0.0412293091214367,-0.029983787004755,0.0277801502763384,-0.00918882967229021,0.0755530499217966,0.0134443718643965
"PercReject_Unadj",-0.0253882865884619,-0.042246413081425,0.0194335752968932,-0.107514911414622,-8.35498295507866e-05,-0.0343815971595498,-0.00170898571116428,-0.039591408753156,0.0126547865042313,0.022844398334896,0.0255267667541523,-0.0350109604847767,0.0468065811525066,0.0160755060109436,-0.0204026847606497,-0.0773444630486157,-0.0593516802182821
"EmotSupp_Unadj",-0.0465492358023864,-0.0149060889555322,-0.0279255847266301,-0.0307116069345727,0.0343020208693349,0.0419656146543257,-0.0412366760558484,0.00869287603349824,-0.0649877548185494,0.0301128192046931,-0.0707370825489471,-0.0363328787746204,0.0065492139671115,0.0276196066495874,-0.0343223958829816,-0.00434523846192116,-0.0205614887079278
"InstruSupp_Unadj",0.0104504663099558,-0.0196744350157439,-0.0154357602475202,-0.0116610961444356,-0.0350129780441502,-0.0698255965620784,0.0205415140456044,0.0446854059682896,0.00788284040814284,-0.0407910847908009,0.0101325911843181,0.0103162707458276,0.0174252249283175,0.0222649358580309,0.00825756744922223,0.0523243470242258,-0.059918176369521
