"c_pair","sd"
"c_1_2",0.101911279590725
"c_1_3",0.109197418127257
"c_2_3",0.106712008327137
"c_1_4",0.108685993459838
"c_2_4",0.110346289347999
"c_3_4",0.127816319656787
"c_1_5",0.0930661342439169
"c_2_5",0.094534530020972
"c_3_5",0.0960289185267076
"c_4_5",0.0997700307961526
"c_1_6",0.0941292096351932
"c_2_6",0.0944762137375486
"c_3_6",0.0972029733247394
"c_4_6",0.10004260092011
"c_5_6",0.0910926629218454
"c_1_7",0.107240955039245
"c_2_7",0.108936225243217
"c_3_7",0.122126329834082
"c_4_7",0.125487387511231
"c_5_7",0.0974975303548412
"c_6_7",0.0978113607917779
"c_1_8",0.106788206949621
"c_2_8",0.107230211837847
"c_3_8",0.121905587506935
"c_4_8",0.120063895023512
"c_5_8",0.0994553871861669
"c_6_8",0.0989334508096388
"c_7_8",0.130302085080056
"c_1_9",0.0935283815231228
"c_2_9",0.0949496421006222
"c_3_9",0.0986121656345637
"c_4_9",0.101563672241618
"c_5_9",0.0919595903196325
"c_6_9",0.0918638672685029
"c_7_9",0.0986409277322518
"c_8_9",0.0978065687717157
"c_1_10",0.0945777769666621
"c_2_10",0.092433086113365
"c_3_10",0.0997157167743399
"c_4_10",0.101516762842531
"c_5_10",0.0910340235170447
"c_6_10",0.0916247266014665
"c_7_10",0.0983969019144513
"c_8_10",0.0968600601148085
"c_9_10",0.0936485484379478
"c_1_11",0.104864485384088
"c_2_11",0.106366667826848
"c_3_11",0.124543836786144
"c_4_11",0.126790153299752
"c_5_11",0.097552958504234
"c_6_11",0.0973854412070667
"c_7_11",0.127629121506556
"c_8_11",0.124935275958795
"c_9_11",0.0991458234034313
"c_10_11",0.0961797069225577
"c_1_12",0.106053322772295
"c_2_12",0.107096539254158
"c_3_12",0.127238865869623
"c_4_12",0.126112280580153
"c_5_12",0.0958578758895123
"c_6_12",0.09784322024382
"c_7_12",0.129891612560904
"c_8_12",0.125326767984041
"c_9_12",0.0987055362523307
"c_10_12",0.0976908485515429
"c_11_12",0.131828970180013
"c_1_13",0.108978546684357
"c_2_13",0.106371668852578
"c_3_13",0.124920858027422
"c_4_13",0.125877463764856
"c_5_13",0.0980045145446017
"c_6_13",0.098305294725652
"c_7_13",0.131180341135229
"c_8_13",0.13151587535194
"c_9_13",0.0991809594114633
"c_10_13",0.0979639514723199
"c_11_13",0.132884896158233
"c_12_13",0.131070826388141
"c_1_14",0.112625661422469
"c_2_14",0.114276011907255
"c_3_14",0.12482546769441
"c_4_14",0.127204556601818
"c_5_14",0.0984063366417748
"c_6_14",0.0999376752111378
"c_7_14",0.134436533881952
"c_8_14",0.131128072101405
"c_9_14",0.101317962320779
"c_10_14",0.0995448534343728
"c_11_14",0.134574208304018
"c_12_14",0.131505150283228
"c_13_14",0.156141948165465
"c_1_15",0.109554500707609
"c_2_15",0.11376037915106
"c_3_15",0.132090641616897
"c_4_15",0.136262522183595
"c_5_15",0.10016003599693
"c_6_15",0.103230215204293
"c_7_15",0.133332741717786
"c_8_15",0.130121112548857
"c_9_15",0.107388926261832
"c_10_15",0.104953481494429
"c_11_15",0.135546922961259
"c_12_15",0.134177578174388
"c_13_15",0.14071305116941
"c_14_15",0.139949263913685
"c_1_16",0.100219658030658
"c_2_16",0.099024533413091
"c_3_16",0.113661124934369
"c_4_16",0.11347251533861
"c_5_16",0.0930849005340026
"c_6_16",0.0938899640654735
"c_7_16",0.112841877540126
"c_8_16",0.113547464201773
"c_9_16",0.0968915362101619
"c_10_16",0.0949976378273827
"c_11_16",0.113474204656837
"c_12_16",0.114856368132268
"c_13_16",0.118757366646838
"c_14_16",0.120986474967038
"c_15_16",0.128622122751022
"c_1_17",0.0999793201914239
"c_2_17",0.100804075313463
"c_3_17",0.111550832651614
"c_4_17",0.115963027905502
"c_5_17",0.0945649758702312
"c_6_17",0.0938968336062324
"c_7_17",0.114505843928793
"c_8_17",0.11244418390279
"c_9_17",0.0977760496990477
"c_10_17",0.0967694917811848
"c_11_17",0.116942573847274
"c_12_17",0.113966783930066
"c_13_17",0.118886556731377
"c_14_17",0.120267820966928
"c_15_17",0.126892833385166
"c_16_17",0.112225866361126
"c_1_18",0.123993160885019
"c_2_18",0.127451527506287
"c_3_18",0.142032482180072
"c_4_18",0.145247906212413
"c_5_18",0.109656863834231
"c_6_18",0.109915719804804
"c_7_18",0.13916373095704
"c_8_18",0.134381132147559
"c_9_18",0.114394017277444
"c_10_18",0.111789969846899
"c_11_18",0.1419639711513
"c_12_18",0.137026551701642
"c_13_18",0.143616514809291
"c_14_18",0.139374599928067
"c_15_18",0.138787488762069
"c_16_18",0.127747563787678
"c_17_18",0.127034233506173
"c_1_19",0.121813666344454
"c_2_19",0.123989537533791
"c_3_19",0.13863647674673
"c_4_19",0.141870767534151
"c_5_19",0.110983478920784
"c_6_19",0.110351245994666
"c_7_19",0.138602516651782
"c_8_19",0.137183780555398
"c_9_19",0.111440926486264
"c_10_19",0.112107889885118
"c_11_19",0.140561483224741
"c_12_19",0.13843868224902
"c_13_19",0.140051399968711
"c_14_19",0.142773018016007
"c_15_19",0.142468596358221
"c_16_19",0.130358778173903
"c_17_19",0.128289949887558
"c_18_19",0.107472899262123
"c_1_20",0.124045964456718
"c_2_20",0.124500879686915
"c_3_20",0.156827446231993
"c_4_20",0.161397550939591
"c_5_20",0.106181565735042
"c_6_20",0.106568760047613
"c_7_20",0.1516173066106
"c_8_20",0.152006838845071
"c_9_20",0.111368019565413
"c_10_20",0.105377961320014
"c_11_20",0.156755345681143
"c_12_20",0.152218584647962
"c_13_20",0.137978561274631
"c_14_20",0.135884754142527
"c_15_20",0.148775659230995
"c_16_20",0.129648212003799
"c_17_20",0.131995656618886
"c_18_20",0.166355792943051
"c_19_20",0.158185279757633
"c_1_21",0.115839904015092
"c_2_21",0.113878685683427
"c_3_21",0.146473468232607
"c_4_21",0.151050300113651
"c_5_21",0.103066334997415
"c_6_21",0.103882321021438
"c_7_21",0.141559155726163
"c_8_21",0.141954106155619
"c_9_21",0.103919746644074
"c_10_21",0.102645192067368
"c_11_21",0.145724294365482
"c_12_21",0.141247305670923
"c_13_21",0.141739397827499
"c_14_21",0.140822316974524
"c_15_21",0.147173065811766
"c_16_21",0.118726984619567
"c_17_21",0.120923019689811
"c_18_21",0.16286315875427
"c_19_21",0.16310383312757
"c_20_21",0.17706269602256
"c_1_22",0.117523850549122
"c_2_22",0.120376831697654
"c_3_22",0.161757917412138
"c_4_22",0.165771914433338
"c_5_22",0.105821319151494
"c_6_22",0.104414999333779
"c_7_22",0.145019858637457
"c_8_22",0.145887925757995
"c_9_22",0.107419998114865
"c_10_22",0.103018755157558
"c_11_22",0.152219274223898
"c_12_22",0.151663721780121
"c_13_22",0.147474970409362
"c_14_22",0.145543781545773
"c_15_22",0.153246345040911
"c_16_22",0.127623942874972
"c_17_22",0.128147184834148
"c_18_22",0.171070479215235
"c_19_22",0.17067379506372
"c_20_22",0.165426833564849
"c_21_22",0.162679640934075
"c_1_23",0.122203573642637
"c_2_23",0.123998639372001
"c_3_23",0.165496106356226
"c_4_23",0.171607359397804
"c_5_23",0.107130571410388
"c_6_23",0.108311810595799
"c_7_23",0.154329216148752
"c_8_23",0.155805666276791
"c_9_23",0.111082063436857
"c_10_23",0.105952978899276
"c_11_23",0.16196695883571
"c_12_23",0.159049089096242
"c_13_23",0.14708177445645
"c_14_23",0.1422574081241
"c_15_23",0.156877359504794
"c_16_23",0.1292121413098
"c_17_23",0.133000974753647
"c_18_23",0.179562679599488
"c_19_23",0.175340359940484
"c_20_23",0.117767212537555
"c_21_23",0.176443692341043
"c_22_23",0.123106380644266
"c_1_24",0.120695041932893
"c_2_24",0.12313066033599
"c_3_24",0.158778770190519
"c_4_24",0.165111713399329
"c_5_24",0.105142726076304
"c_6_24",0.108660579367354
"c_7_24",0.153091538522966
"c_8_24",0.153773436385119
"c_9_24",0.109443378063822
"c_10_24",0.104733259039806
"c_11_24",0.155957532828638
"c_12_24",0.152754029632149
"c_13_24",0.140221539198584
"c_14_24",0.136856516050469
"c_15_24",0.148789236943802
"c_16_24",0.126492994919477
"c_17_24",0.129162746236885
"c_18_24",0.173469648612614
"c_19_24",0.169826800922464
"c_20_24",0.118777074447243
"c_21_24",0.170136048678549
"c_22_24",0.1385578073067
"c_23_24",0.0910674150706573
"c_1_25",0.121126379301483
"c_2_25",0.122878930080685
"c_3_25",0.158315201532558
"c_4_25",0.163822829134129
"c_5_25",0.105901026867709
"c_6_25",0.108449766418351
"c_7_25",0.150854170898463
"c_8_25",0.150263570021263
"c_9_25",0.108690954311779
"c_10_25",0.104304040935052
"c_11_25",0.149466805641607
"c_12_25",0.147642925243755
"c_13_25",0.139213620914107
"c_14_25",0.135325319426082
"c_15_25",0.143462410197604
"c_16_25",0.124273962225644
"c_17_25",0.1245199622187
"c_18_25",0.169844272547928
"c_19_25",0.165718266800028
"c_20_25",0.135639333128912
"c_21_25",0.167332387270449
"c_22_25",0.145765663200518
"c_23_25",0.124169302722922
"c_24_25",0.0883070966101443
"c_1_26",0.116754453074581
"c_2_26",0.116235657793392
"c_3_26",0.151097845939466
"c_4_26",0.158393775872097
"c_5_26",0.100670123964532
"c_6_26",0.103086585996992
"c_7_26",0.133483769484328
"c_8_26",0.13457932269755
"c_9_26",0.102494439166376
"c_10_26",0.0983895178537691
"c_11_26",0.136307720130848
"c_12_26",0.133313124635056
"c_13_26",0.134852133683789
"c_14_26",0.130561558265296
"c_15_26",0.138016401399998
"c_16_26",0.11666359850329
"c_17_26",0.117977728158829
"c_18_26",0.158233527765044
"c_19_26",0.153609220866423
"c_20_26",0.163717260653005
"c_21_26",0.16595072643951
"c_22_26",0.151263559652596
"c_23_26",0.155241919270273
"c_24_26",0.159315399975075
"c_25_26",0.149622044856773
"c_1_27",0.123221048024854
"c_2_27",0.122491941355289
"c_3_27",0.148480148848422
"c_4_27",0.150710756771809
"c_5_27",0.109002360067421
"c_6_27",0.108315476031899
"c_7_27",0.15940994779951
"c_8_27",0.160742489300048
"c_9_27",0.109229906608262
"c_10_27",0.108967358865644
"c_11_27",0.166136403387919
"c_12_27",0.166590481857541
"c_13_27",0.171099467476478
"c_14_27",0.17292997802884
"c_15_27",0.16523517421104
"c_16_27",0.137067856792651
"c_17_27",0.135088271522958
"c_18_27",0.197853036289914
"c_19_27",0.189328166138561
"c_20_27",0.207766771456421
"c_21_27",0.155583830715054
"c_22_27",0.180956968478707
"c_23_27",0.178696871708536
"c_24_27",0.16490138408474
"c_25_27",0.162029217171802
"c_26_27",0.170506454293568
"c_1_28",0.121948034116544
"c_2_28",0.12133916660823
"c_3_28",0.14543247771431
"c_4_28",0.149640711958776
"c_5_28",0.110343573557594
"c_6_28",0.106997677617477
"c_7_28",0.159420900053493
"c_8_28",0.16041847079325
"c_9_28",0.110895973146812
"c_10_28",0.110122527612787
"c_11_28",0.169507963508025
"c_12_28",0.168115727415694
"c_13_28",0.165399909333197
"c_14_28",0.167176608193477
"c_15_28",0.164998462166434
"c_16_28",0.136203401721826
"c_17_28",0.134018330158175
"c_18_28",0.195068758258342
"c_19_28",0.185826435512269
"c_20_28",0.202440470324036
"c_21_28",0.168951800538626
"c_22_28",0.197948091295274
"c_23_28",0.192225396425918
"c_24_28",0.178309530839704
"c_25_28",0.178083498016137
"c_26_28",0.18396477912196
"c_27_28",0.149964260483581
"c_1_29",0.114241637577943
"c_2_29",0.116662128759666
"c_3_29",0.152323049462532
"c_4_29",0.156789111548549
"c_5_29",0.102735687830006
"c_6_29",0.101682771516518
"c_7_29",0.13613572293169
"c_8_29",0.133442483190661
"c_9_29",0.103894600075414
"c_10_29",0.102387912007801
"c_11_29",0.137542108631854
"c_12_29",0.136529785128237
"c_13_29",0.135402930412592
"c_14_29",0.133419996908444
"c_15_29",0.138847549026041
"c_16_29",0.121169016448314
"c_17_29",0.124318846065173
"c_18_29",0.149787283284468
"c_19_29",0.15384520139624
"c_20_29",0.14323244768835
"c_21_29",0.144289285561368
"c_22_29",0.136655091971705
"c_23_29",0.133522943821232
"c_24_29",0.13502193341434
"c_25_29",0.145043947563304
"c_26_29",0.1419562702251
"c_27_29",0.168046591211411
"c_28_29",0.175897728913688
"c_1_30",0.111114544000752
"c_2_30",0.113803122609689
"c_3_30",0.14175136599649
"c_4_30",0.144326798377826
"c_5_30",0.0977442099772418
"c_6_30",0.0989147695848849
"c_7_30",0.128060691308057
"c_8_30",0.124221696140164
"c_9_30",0.099785205589246
"c_10_30",0.0999054459042387
"c_11_30",0.123322994860744
"c_12_30",0.123200040275778
"c_13_30",0.12375180931095
"c_14_30",0.123310207091392
"c_15_30",0.125980139083956
"c_16_30",0.110567960332666
"c_17_30",0.112673881628699
"c_18_30",0.150648669625417
"c_19_30",0.147868196408076
"c_20_30",0.144314539701158
"c_21_30",0.155248466605742
"c_22_30",0.154993750610795
"c_23_30",0.15047269275775
"c_24_30",0.149671210060396
"c_25_30",0.165670023956266
"c_26_30",0.158487353473418
"c_27_30",0.157729728181139
"c_28_30",0.159168147477813
"c_29_30",0.146093388924472
"c_1_31",0.111405154067173
"c_2_31",0.109023820012341
"c_3_31",0.141678844527459
"c_4_31",0.144621932759345
"c_5_31",0.100078839896716
"c_6_31",0.0994037646587092
"c_7_31",0.127117774835981
"c_8_31",0.129193355826847
"c_9_31",0.101217223892218
"c_10_31",0.100087401877454
"c_11_31",0.128392850376958
"c_12_31",0.126408293622761
"c_13_31",0.127960978586574
"c_14_31",0.128503619735279
"c_15_31",0.133888726985275
"c_16_31",0.114135287434368
"c_17_31",0.113324056594972
"c_18_31",0.145035093238204
"c_19_31",0.145557487554238
"c_20_31",0.142560548191015
"c_21_31",0.145225393112587
"c_22_31",0.15159038162465
