"lambda1","cor"
0.01,0.0712301672373368
0.1,0.0802322208778822
1,0.0877621847633262
10,0.110997576127661
100,0.181365395091148
1000,0.179749921521127
10000,0.0146984767398591
1e+05,-0.000698685896735495
1e+06,0.0107488940910549
