"q","RCCA1","RCCA2","RCCA3","RCCA4","RCCA5","RCCA6","RCCA7","RCCA8","RCCA9","RCCA10","RCCA11","RCCA12","RCCA13","RCCA14","RCCA15","RCCA16","RCCA17"
"AngAffect_Unadj",-0.0014597951711165,-0.00598521666294251,0.075425662115437,-0.00170472091254526,0.0519668010330855,0.0840768709817758,0.0737691849808582,0.0141471672877147,0.0483565874852553,0.0039485669633277,-0.000563981266392369,0.0783841200680609,-0.0397856312193219,0.0719890645273237,-0.0236490778969645,-0.038677840737373,-0.00951570587686636
"AngHostil_Unadj",0.042253223944437,0.062718947883488,-0.0332127574093491,-0.0527637663518068,0.0231616312805441,0.0462277046235079,0.00342255140490252,-0.0164183976082755,0.0178892542025,0.0301108090256164,0.00485681429729114,-0.0389994869291549,0.0324323903946345,0.00340637796721942,-0.000990050291672246,0.0726980646477632,-0.0515230543422687
"AngAggr_Unadj",-0.0510017284259974,0.00131603701687708,0.016248626896611,0.00563476473693599,-0.0057093387793133,-0.037635815883189,-0.0377900760703404,-0.0673280618680468,0.0151823852744876,-0.0329218498826103,-0.0349026060709413,0.00232170802160731,0.0108275234433184,0.0422675153262848,0.0260645200518738,-0.0218905584416316,-0.0256069835800004
"FearAffect_Unadj",0.025369147781936,-0.0573247457521039,-0.0433794611094843,0.0363342557282705,-0.0590510046424886,-0.0480053984778127,0.0182997066918453,-0.0187516571531448,0.0887954827118661,-0.0638957763370803,0.0306325524694906,0.0346298823589005,0.0597055219594811,-0.0647956198730748,0.010675277643297,0.0461049874711092,-0.0765850221326557
"FearSomat_Unadj",0.0182573493079948,-0.00545140825386104,0.00863420109356955,0.00519242686964678,-0.00107274909063997,0.0245708043679312,-0.0811870899240567,0.0780459827575541,-0.0499637591215322,-0.00293349656779162,-0.00157677075749896,-0.00398632621336188,-0.00220427516903389,0.0504915391558229,0.0306984903857699,0.0248296141664862,0.00357725218401665
"Sadness_Unadj",-0.00502068399605337,-0.0164936038665507,-0.0806347142364139,0.00585041525544489,0.0106396480475408,-0.0304303089902088,-0.013305278661957,-0.0710375506500241,-0.023665237728184,0.0802468280877017,0.0132475008857191,-0.0786811967737016,-0.107088810813724,0.0458857262036378,0.0815041824950193,0.0194412637580848,0.0733751370408702
"LifeSatisf_Unadj",0.080882850476363,-0.0386715699129499,0.0335632063317874,0.0284202294779725,0.052071364378282,-0.0129193722843304,0.0159090259488389,-0.0664678206672824,-0.0681169965939335,-0.00744780568199701,0.0134305308689265,-0.0249605628435458,0.0343832803111777,0.0107522452241712,-0.00137542396178831,0.00678483157831523,-0.00633650873957591
"MeanPurp_Unadj",-0.0273887336751432,0.0436406845363927,-0.0503826950472879,0.0172540313264845,0.0536834997056964,-0.0189207746639815,-0.0236524851472938,0.027971527369943,0.0381408670826492,-0.0441150749003174,0.0302200969864565,-0.0327129869328093,-0.0616966995888024,0.00064252170183891,-0.0318547766946835,-0.0282331395485066,-0.0363235352467937
"PosAffect_Unadj",-0.0335734112442234,-0.0365125006886647,-0.0407423220427546,-0.0387149943119193,-0.0476729707860851,0.071003590028374,0.00798591330254672,-0.0225400714205646,-0.03543611036877,0.0213201940228806,-0.0315670545860578,0.0563693157114896,-0.0687188783812212,-0.0339154471129249,0.0540612749823844,-0.0339138691970778,-0.045206472797889
"Friendship_Unadj",-0.0165188615042858,-0.0132622873108278,0.0292765511811497,-0.0695133301632985,0.0479865057033945,-0.0855406981530286,0.0147666569901264,0.025711809590167,-0.0112345635581261,0.0383527350495557,0.0312010144932773,0.0300782409363234,-0.00635057373718256,-0.0100351267517604,0.0316685324504843,0.0198949339529379,-0.0369656774418302
"Loneliness_Unadj",0.00224535195137252,-0.0313127447744263,0.113444162375136,-0.0320147086759233,-0.0164968814597895,-0.0268172167551377,-0.0215069753890053,0.0131929557223828,-0.00756549692217471,-0.0138156159794919,-0.0144302760290824,-0.0266611928298987,-0.0865859063252683,-0.0545970212097335,-0.0507414548900397,0.0157531853041082,-0.05235640406309
"PercHostil_Unadj",-0.0229840893601281,-0.0199789983704413,-0.0536712091660534,-0.0190691349416194,-0.0260372816695872,-0.041711834765388,0.0333118669601778,0.00786606784478767,-0.0542368387636066,-0.0147019369586258,-0.0149108046692599,0.0154257247327008,-0.00926479576455838,0.0343969924047521,-0.0883260432320408,0.0642122512825522,0.00858823236191147
"PercReject_Unadj",-0.00986109707822682,-0.00960416092415068,-0.010717065148617,0.0181637163443836,0.00749389167651214,-0.00502123354307819,0.0613660511463912,0.0436632551332831,0.0208409945544065,0.0179193470356235,-0.0235131275027037,-0.0732813243818578,0.0553847518468875,0.0124768125423725,0.0809766650378307,-0.088239108257418,-0.0378990946328357
"EmotSupp_Unadj",0.018972343489949,-0.0440898129272442,-0.00755930177528501,0.0196239942307454,-0.000468870901569287,0.0132946518918543,-0.0256217575389672,0.00806478704354078,0.0475718783569064,0.0559811869752457,-0.0936455766602513,-0.0286839970114147,0.0202436462536326,0.0166477637702137,-0.0536753392437391,-0.0276265341757698,-0.00248627491603904
"InstruSupp_Unadj",-0.0420737784760403,0.0135341586047895,0.0193265153250339,0.0279783157195257,0.0266352628940123,0.0192339291724779,0.034465420209311,0.018564437189278,-0.00385441302819768,-0.0509832306089932,-0.0378056084485547,-0.023510721560573,-0.0104043872756503,-0.0389449261319248,0.0465582994407555,0.060487625219763,0.0193229677132003
"PercStress_Unadj",-0.0667826020014816,-0.0312968015513144,0.0154928633320902,0.036082804621196,0.0594694667956087,0.0479106382030623,-0.0555377049929686,-0.00524718615383557,-0.0732817485030773,0.0290442476647242,0.0326654588141226,0.00147538581649357,0.064651171149244,-0.0669010163060093,-0.0483311568749779,-0.0234552330691897,0.0225511081030182
"SelfEff_Unadj",-0.0217934901972291,-0.0606504382531827,0.00409610834927724,-0.0682735719874675,-0.0051983072483037,0.0517206225913067,-0.0191133048542589,-0.00654443066891772,0.00980889381715925,-0.0261805759158442,0.0515890355953798,-0.0579761526010201,0.0495338201279885,0.00443216917001741,-0.0270499867887961,0.0135065014469228,0.0396474055101605
