"c_pair","sd"
"c_1_2",0.101839611633119
"c_1_3",0.109438902720915
"c_2_3",0.112726896359495
"c_1_4",0.105357677376987
"c_2_4",0.108245856875396
"c_3_4",0.130783784956586
"c_1_5",0.100575174066955
"c_2_5",0.102192191521222
"c_3_5",0.110448596295046
"c_4_5",0.106240510511689
"c_1_6",0.101168426365681
"c_2_6",0.101608129615701
"c_3_6",0.104959575160336
"c_4_6",0.104592866018755
"c_5_6",0.096314858558057
"c_1_7",0.108027907888122
"c_2_7",0.118044555162631
"c_3_7",0.126673143393425
"c_4_7",0.125534286032264
"c_5_7",0.107299629437206
"c_6_7",0.10818130573543
"c_1_8",0.110170160714967
"c_2_8",0.112233044275319
"c_3_8",0.118098683881565
"c_4_8",0.122121718314769
"c_5_8",0.104539933653793
"c_6_8",0.109897105147764
"c_7_8",0.142128978393174
"c_1_9",0.0983477377312645
"c_2_9",0.0961936367675278
"c_3_9",0.109633297493404
"c_4_9",0.105867152139059
"c_5_9",0.101268050961003
"c_6_9",0.10045919686657
"c_7_9",0.107502286719797
"c_8_9",0.105762737705469
"c_1_10",0.0977201991284427
"c_2_10",0.0981233621331307
"c_3_10",0.107077337322632
"c_4_10",0.106445826505796
"c_5_10",0.0985372198802125
"c_6_10",0.101071287641838
"c_7_10",0.104510552884122
"c_8_10",0.104686813431596
"c_9_10",0.0997518592393002
"c_1_11",0.105215077011524
"c_2_11",0.113182118042856
"c_3_11",0.121047898540486
"c_4_11",0.127663031463916
"c_5_11",0.104565616797973
"c_6_11",0.104122297847621
"c_7_11",0.135259993138463
"c_8_11",0.131067061826725
"c_9_11",0.108720714209739
"c_10_11",0.105368958758774
"c_1_12",0.107329408628374
"c_2_12",0.107076650126041
"c_3_12",0.122248356992399
"c_4_12",0.127514437185857
"c_5_12",0.106424412430561
"c_6_12",0.110093296731138
"c_7_12",0.130696566242628
"c_8_12",0.13488855832213
"c_9_12",0.111417799143087
"c_10_12",0.103971299696216
"c_11_12",0.140233666635636
"c_1_13",0.107338476506095
"c_2_13",0.107228606490745
"c_3_13",0.115821011461713
"c_4_13",0.122456538005832
"c_5_13",0.106889571995049
"c_6_13",0.10446485203582
"c_7_13",0.132342579325575
"c_8_13",0.132250010845961
"c_9_13",0.106683648585307
"c_10_13",0.106550841126274
"c_11_13",0.12962759729402
"c_12_13",0.129283000686456
"c_1_14",0.106538415327207
"c_2_14",0.108845884451344
"c_3_14",0.115981268956245
"c_4_14",0.120991828315599
"c_5_14",0.102202426612911
"c_6_14",0.100383380758014
"c_7_14",0.134497986539144
"c_8_14",0.132984742991561
"c_9_14",0.104382918694141
"c_10_14",0.104390890651907
"c_11_14",0.127271941919802
"c_12_14",0.127250230398497
"c_13_14",0.135265810961993
"c_1_15",0.107909526577733
"c_2_15",0.109107318741605
"c_3_15",0.127769439529439
"c_4_15",0.129774070728662
"c_5_15",0.104542023691456
"c_6_15",0.105292595919015
"c_7_15",0.130135114118552
"c_8_15",0.127827693521987
"c_9_15",0.10353908384582
"c_10_15",0.105210423840162
"c_11_15",0.130506122700524
"c_12_15",0.132802587170075
"c_13_15",0.132168777300698
"c_14_15",0.133583599843644
"c_1_16",0.100336236172402
"c_2_16",0.103404692196176
"c_3_16",0.113571263795814
"c_4_16",0.110969249275061
"c_5_16",0.100923639395064
"c_6_16",0.102774765682398
"c_7_16",0.117427488938361
"c_8_16",0.113839894057605
"c_9_16",0.102279996166344
"c_10_16",0.101434386633059
"c_11_16",0.111913608607973
"c_12_16",0.10883511796042
"c_13_16",0.119488791322764
"c_14_16",0.113704933006219
"c_15_16",0.114580631679133
"c_1_17",0.102250747098287
"c_2_17",0.102475736306166
"c_3_17",0.10968523323747
"c_4_17",0.111066304526373
"c_5_17",0.100547510540206
"c_6_17",0.0984371637951723
"c_7_17",0.11715433902816
"c_8_17",0.11636521262286
"c_9_17",0.104045777348353
"c_10_17",0.0946471114384208
"c_11_17",0.115010569751345
"c_12_17",0.122494199964489
"c_13_17",0.115279717864035
"c_14_17",0.106288046368737
"c_15_17",0.112481247564564
"c_16_17",0.106292689637362
"c_1_18",0.119172798111006
"c_2_18",0.134253457399823
"c_3_18",0.149023718659292
"c_4_18",0.150821310081195
"c_5_18",0.121158577923426
"c_6_18",0.123181291745355
"c_7_18",0.15293917935282
"c_8_18",0.150157757755331
"c_9_18",0.127636127337766
"c_10_18",0.121182413972292
"c_11_18",0.153807221670339
"c_12_18",0.150014206848215
"c_13_18",0.150688380214427
"c_14_18",0.142264000544729
"c_15_18",0.15198693757314
"c_16_18",0.131045860797241
"c_17_18",0.12894915164453
"c_1_19",0.124394772638215
"c_2_19",0.129597107001897
"c_3_19",0.139934035783353
"c_4_19",0.147789832298214
"c_5_19",0.122377116862981
"c_6_19",0.121477023985017
"c_7_19",0.151175023294533
"c_8_19",0.151488561261343
"c_9_19",0.121792014646987
"c_10_19",0.112881241289035
"c_11_19",0.150392862606591
"c_12_19",0.152542577997849
"c_13_19",0.148612726054533
"c_14_19",0.143529932933922
"c_15_19",0.147812499185282
"c_16_19",0.126214833758037
"c_17_19",0.129541354106289
"c_18_19",0.164129792606431
"c_1_20",0.115553060412615
"c_2_20",0.122819719735417
"c_3_20",0.137396515044293
"c_4_20",0.137009770726316
"c_5_20",0.106437549764246
"c_6_20",0.10313104424448
"c_7_20",0.151029565512103
"c_8_20",0.143706782920363
"c_9_20",0.107155185070446
"c_10_20",0.102758819896519
"c_11_20",0.140475223802896
"c_12_20",0.146588268466347
"c_13_20",0.139371134186865
"c_14_20",0.13249188817709
"c_15_20",0.140645331420183
"c_16_20",0.118280438614065
"c_17_20",0.117085346265061
"c_18_20",0.178876255333098
"c_19_20",0.174789415030165
"c_1_21",0.112803316820979
"c_2_21",0.11590136758918
"c_3_21",0.135335163188736
"c_4_21",0.133528563670191
"c_5_21",0.109757352698774
"c_6_21",0.111860265270237
"c_7_21",0.139617970988626
"c_8_21",0.138272259534763
"c_9_21",0.105459823215182
"c_10_21",0.104299025601832
"c_11_21",0.132434766874522
"c_12_21",0.136545357950319
"c_13_21",0.132129896621617
"c_14_21",0.131057510413224
"c_15_21",0.13836786832202
"c_16_21",0.120663718127494
"c_17_21",0.11943598203458
"c_18_21",0.171202920108381
"c_19_21",0.17377458916631
"c_20_21",0.16748137521389
"c_1_22",0.11300467226376
"c_2_22",0.11477108062242
"c_3_22",0.132449332247514
"c_4_22",0.138656136265451
"c_5_22",0.110373985675746
"c_6_22",0.10296799852136
"c_7_22",0.148342099770682
"c_8_22",0.140456547713848
"c_9_22",0.107534621697869
"c_10_22",0.105959143378489
"c_11_22",0.130097227197222
"c_12_22",0.13875171973389
"c_13_22",0.136283725024251
"c_14_22",0.136395474627531
"c_15_22",0.136947950919335
"c_16_22",0.117170322880905
"c_17_22",0.114390468906823
"c_18_22",0.178341129952416
"c_19_22",0.175759315645762
"c_20_22",0.173775064561055
"c_21_22",0.168359105308581
"c_1_23",0.114636195859532
"c_2_23",0.122188868312605
"c_3_23",0.137319192318324
"c_4_23",0.139529092708968
"c_5_23",0.10493736033788
"c_6_23",0.105052012447033
"c_7_23",0.15183841582699
"c_8_23",0.140726453644907
"c_9_23",0.104415932819191
"c_10_23",0.0984607424568786
"c_11_23",0.136937972339424
"c_12_23",0.1434136464706
"c_13_23",0.133589692165083
"c_14_23",0.13009220791613
"c_15_23",0.139962821391911
"c_16_23",0.117086699137701
"c_17_23",0.116411404455907
"c_18_23",0.181384555096971
"c_19_23",0.183002655468316
"c_20_23",0.0959573721782937
"c_21_23",0.165452222320604
"c_22_23",0.15855992742767
"c_1_24",0.110827012371305
"c_2_24",0.116420626688996
"c_3_24",0.13728687881712
"c_4_24",0.131389645544492
"c_5_24",0.102232586074311
"c_6_24",0.101995194235819
"c_7_24",0.145296027641843
"c_8_24",0.13586520309312
"c_9_24",0.0990489873887758
"c_10_24",0.100483867894117
"c_11_24",0.135763950498922
"c_12_24",0.142469652218265
"c_13_24",0.134817093948845
"c_14_24",0.125731956493957
"c_15_24",0.134033456944021
"c_16_24",0.111590621142347
"c_17_24",0.112024059581699
"c_18_24",0.183570912880677
"c_19_24",0.181093508089951
"c_20_24",0.0961077160684222
"c_21_24",0.168996651468826
"c_22_24",0.164041015631051
"c_23_24",0.0909095068668262
"c_1_25",0.115112287785813
"c_2_25",0.120202131560939
"c_3_25",0.133157566933047
"c_4_25",0.136857122713081
"c_5_25",0.106718485361044
"c_6_25",0.104558398704367
"c_7_25",0.150803964242438
"c_8_25",0.143965681522929
"c_9_25",0.101891101105626
"c_10_25",0.10071150472589
"c_11_25",0.138493322124318
"c_12_25",0.149816401045916
"c_13_25",0.140973462237597
"c_14_25",0.133418281014411
"c_15_25",0.138947469407722
"c_16_25",0.118379112993344
"c_17_25",0.111668782134296
"c_18_25",0.188621189537929
"c_19_25",0.185835297214016
"c_20_25",0.119136564834392
"c_21_25",0.163033493045584
"c_22_25",0.186100824805261
"c_23_25",0.11071241767693
"c_24_25",0.103825535640128
"c_1_26",0.108293578747202
"c_2_26",0.113042795149721
"c_3_26",0.125850302278773
"c_4_26",0.125218296337502
"c_5_26",0.101280589021532
"c_6_26",0.099498786102239
"c_7_26",0.139530812752106
"c_8_26",0.131890701409979
"c_9_26",0.0998900100957243
"c_10_26",0.10341586456203
"c_11_26",0.132614083210909
"c_12_26",0.133421072450442
"c_13_26",0.128673563091442
"c_14_26",0.127127565632501
"c_15_26",0.127447379454001
"c_16_26",0.108779566933969
"c_17_26",0.108702448784558
"c_18_26",0.170196718015219
"c_19_26",0.168008848624965
"c_20_26",0.140331811081335
"c_21_26",0.155420611629212
"c_22_26",0.165023596884372
"c_23_26",0.137128398955291
"c_24_26",0.144576372842973
"c_25_26",0.115223386496878
"c_1_27",0.129607772999777
"c_2_27",0.129654993122612
"c_3_27",0.144633334239945
"c_4_27",0.145433044512866
"c_5_27",0.122246342729286
"c_6_27",0.121531146524146
"c_7_27",0.164582095089779
"c_8_27",0.152932724303289
"c_9_27",0.12560659731407
"c_10_27",0.121496999658572
"c_11_27",0.157474772286972
"c_12_27",0.161706854055086
"c_13_27",0.162391763645798
"c_14_27",0.158104863290675
"c_15_27",0.166138540300709
"c_16_27",0.138087379825746
"c_17_27",0.138021301537595
"c_18_27",0.199911439849988
"c_19_27",0.200146740395624
"c_20_27",0.197703125473563
"c_21_27",0.17964135932209
"c_22_27",0.180556954490805
"c_23_27",0.189665389216266
"c_24_27",0.180886538776436
"c_25_27",0.189967723314208
"c_26_27",0.172284875321371
"c_1_28",0.131214966605358
"c_2_28",0.136936209068344
"c_3_28",0.145410999974785
"c_4_28",0.151269827938203
"c_5_28",0.124764236953298
"c_6_28",0.12941049698513
"c_7_28",0.167963583185333
"c_8_28",0.162452385979774
"c_9_28",0.128117807121161
"c_10_28",0.127101286293126
"c_11_28",0.159153641486819
"c_12_28",0.168839932564156
"c_13_28",0.163530116613549
"c_14_28",0.16200279477597
"c_15_28",0.173360065453734
"c_16_28",0.140801797257205
"c_17_28",0.141220001871928
"c_18_28",0.208089752822245
"c_19_28",0.20749381875378
"c_20_28",0.202327197351881
"c_21_28",0.178937583511553
"c_22_28",0.192246973203682
"c_23_28",0.202165654091543
"c_24_28",0.189185012719495
"c_25_28",0.18761072964243
"c_26_28",0.168862775515301
"c_27_28",0.162590689299251
"c_1_29",0.114478708087642
"c_2_29",0.112960159681152
"c_3_29",0.130677846921055
"c_4_29",0.124112450817164
"c_5_29",0.106908671009501
"c_6_29",0.109110422676585
"c_7_29",0.140322834642748
"c_8_29",0.143866772490803
"c_9_29",0.105189000041131
"c_10_29",0.105064409662867
"c_11_29",0.127789584403774
"c_12_29",0.140545945079991
"c_13_29",0.136404688810842
"c_14_29",0.134185999725677
"c_15_29",0.136892602009988
"c_16_29",0.118605132781409
"c_17_29",0.11243981533786
"c_18_29",0.170409694327028
"c_19_29",0.171045492014214
"c_20_29",0.161892172867226
"c_21_29",0.158579902656772
"c_22_29",0.152581145430309
"c_23_29",0.161028746620981
"c_24_29",0.170983330351805
"c_25_29",0.16712285525949
"c_26_29",0.156911142138507
"c_27_29",0.178668025843476
"c_28_29",0.182035733873779
"c_1_30",0.115888392950595
"c_2_30",0.117274918385912
"c_3_30",0.124037055258734
"c_4_30",0.125835357301877
"c_5_30",0.104796168635223
